storename,location,lng,lat,score,special,img_url
古田居酒屋,南一环与曙光路交口南行100米中隐于市内(罐头党主题客栈巷口向西20米),None,None,4.6,"加州卷,寿司,拉面,鳗鱼饭,地狱拉面,炸猪排,牛油果甜品,奶油炖菜,手握鳗鱼寿司,甜品焦糖布丁,秋刀鱼,樱花卷,多春鱼,梅酒,火炙三文鱼寿司,煎牛舌,牛肉寿喜锅,火炙蟹肉寿司,土豆牛肉饼,芥末章魚",https://dimg05.c-ctrip.com/images/10060j000000adlk8145E_R_220_140.jpg
海底捞火锅（银泰店）,长江中路98号银泰中心8楼809号商铺海底捞,None,None,4.8,"捞派滑牛肉,猪脑花,酱料,四宫格锅底,番茄锅底,招牌虾滑,捞派鸭肠,捞派澳洲肥牛,捞派毛肚,无刺巴沙鱼片",https://dimg02.c-ctrip.com/images/100b15000000yi8ub17DF_R_220_140.jpg
久旦日料,潜山路与南二环路交叉口银泰城室外负一层,None,None,4.6,"抹茶布丁,中华海草,白桃乌龙茶,甜虾刺身,猪软骨拉面,骨付香肠,中华海藻,鹅肝手握,烤串拼盘,芒果鳗鱼加州卷,海鲜泡菜锅,海鲜玉子烧,三文鱼刺身",https://dimg02.c-ctrip.com/images/100h1800000147tfkAF64_R_220_140.jpg
黑鱼郭我家酸菜鱼(摩尔广场店),贵池路摩尔广场2楼(东至路口),None,None,4.6,"酸萝卜,酸菜鱼,桂花糯米藕,川味凉皮,吴山贡鹅,酸菜鱼酸萝卜排骨,黑鱼,印度飞饼,千张丝,斤黑鱼,蕨粉,油条",https://dimg08.c-ctrip.com/images/10030j000000ag4vy142E_R_220_140.jpg
海底捞火锅(之心城店),长江西路189号之心城购物中心5F,None,None,4.8,"捞派滑牛肉,柠檬水和酸梅汤,捞派捞面,番茄锅底,捞派澳洲肥牛,捞派毛肚,无刺巴沙鱼片,羊肉卷",https://dimg02.c-ctrip.com/images/100b15000000yi8ub17DF_R_220_140.jpg
栖巢咖啡(芜湖路万达低碳店),万达金街纪念日旁,None,None,4.7,"火爆辣鸡香蒜披萨,焦糖玛奇朵,台式三杯鸡,恋吻卡布奇诺,奶皇西多士,‍提拉米苏,西班牙番茄烩牛腩,原味酸奶,儿童牛排,蛋黄吐司,红豆拿铁,布朗尼栗子,火焰上脑牛排,菲力嫩牛排,魔芋之恋,臻品炙烧牛排,调味卡布奇诺,西冷牛排,黑椒牛排,金桔莫吉托汽之恋,香辣牛肚筋煲仔",https://dimg06.c-ctrip.com/images/100e0j000000aejx3ABEB_R_220_140.jpg
鱼煲第一家(三店),九狮桥街向南勤劳巷内30米路南,None,None,4.7,"铁板土豆片,西湖牛肉羹,鱼煲,干锅平包菜,锅巴扎酱,干锅原风香鸡,鱼煲、酸辣平包菜、紫菜蛋汤、米饭,铁板土豆,青椒土豆丝,爆炒大肠,干锅豆角,韭菜炒鸭血,铁板日本豆腐,香辣鱼煲,蒜蓉生菜,毛豆肉丝,清炒小青菜,皮蛋豆腐羹,香甜玉米烙,干锅小公鸡,铁板鸡杂,杭椒炒酱肉,干锅豆腐皮,干锅千叶豆腐,五花藕",https://dimg07.c-ctrip.com/images/100a0j000000acvqwFF54_R_220_140.jpg
塔吉印度餐厅,1912街区东街,None,None,4.6,"咖喱青豆烩蘑菇,香烤蒜蓉鸡,羊肉玛莎拉,玛莎拉咖喱虾,咖喱鸡,香烤春鸡,咖喱角,香料炒饭,芝士薄饼,杂烩蔬菜,玛莎拉茶,咖喱烩羊肉",https://dimg08.c-ctrip.com/images/100m180000014fmcrD7E1_R_220_140.jpg
晋家门(天鹅湖万达店),天鹅湖万达广场室内步行街3楼,None,None,4.6,"酿皮,晋家门凉皮,自制酸奶,小米发糕,烤羊腿棒,羊肉莜面鱼,锅锅牛腩,西北凉糕,晋家门烤包子,烤羊肉串",https://dimg08.c-ctrip.com/images/tg/893/369/079/9eab3e30544f43e8a057b2b1abaa03d4_R_220_140.jpg
海底捞火锅(潜山路店),潜山路190号银泰城三层,None,None,4.9,"酸梅汤,捞派滑牛肉,四宫格锅底,番茄锅底,招牌虾滑,捞派鸭肠,捞派澳洲肥牛,捞派毛肚,无刺巴沙鱼片,千张",https://dimg02.c-ctrip.com/images/100b15000000yi8ub17DF_R_220_140.jpg
莽子火锅(南一环店),南一环与曙光路交叉口,None,None,4.3,"豆皮,虾饺,鲜鸭血,鲜毛肚,鹅肠,101精品鲜毛肚,109精品嫩牛肉,106香菜牛肉丸,芝士蟹丸,114极品鲜鹅肠,羊肉,鲜炸酥肉,香菜牛肉丸,豆芽,脑花,海白菜,笋片,麻辣牛肉片,粑牛肉,牛油鸳鸯锅底,香蕉奶酪飞饼,鲱鱼籽虾滑",https://dimg05.c-ctrip.com/images/10090j000000ag3ocE85F_R_220_140.jpg
海底捞火锅(蒙城路店),濉溪路202号华联商厦2楼,None,None,4.8,"酸梅汤,捞派滑牛肉,捞派捞面,鸭血,招牌虾滑,捞派鸭肠,捞派毛肚,捞派黄喉,捞派豆花,鸳鸯锅",https://dimg02.c-ctrip.com/images/100b15000000yi8ub17DF_R_220_140.jpg
玖月音乐餐厅酒吧(live hous),潜山路新华国际广场16号楼110号，商之都东门(皖河路口；皖河路；潜山路),None,None,4.6,"卡布奇诺,焦糖玛奇朵,蓝色湖泊,一鸭腿香肠饭,石头家猪蹄饭,哥顿金酒gordon‘s,炸薯条,蓝色夏威夷,培根香肠披萨,果盘,烤蘑菇,莓果金盏花拿铁,摩卡",https://dimg08.c-ctrip.com/images/10090j000000ag3es3059_R_220_140.jpg
延旭烧烤串城总店(大通路店),大通路116号(海汇假日酒店东侧楼三楼),None,None,4.4,"玉善自制肉肠,玉善小串,大片肉,麻辣排骨串,烤面包,蜜汁排骨串,麻辣牛肉串,秘制羊排肉,特色秘汁龙虾,墨西哥大片肉",https://dimg04.c-ctrip.com/images/100j0k000000b72tn6130_R_220_140.jpg
和米堂,大洋百货负一楼,None,None,4.7,"培根芝士章鱼烧,原只大虾,肉松章鱼烧,原只大虾章鱼烧,玉米奶酪章鱼丸,培根芝士章,黑椒牛柳章鱼烧,玉米奶酪,芥末章鱼,德式香肠章鱼烧,大虾章鱼烧,玉米奶酪章鱼烧,原味章鱼烧,鸡蛋色拉章鱼丸,肉松章鱼丸,鸡蛋色拉章鱼烧,原大虾章鱼烧,培根芝士章鱼丸,金枪鱼章鱼烧,鸡蛋色拉,龙虾色拉章鱼烧,鱼籽鱼烧",https://dimg07.c-ctrip.com/images/100p0j000000aczx78C54_R_220_140.jpg
